Palette: 6
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.35
overseersMin: 3
overseersMax: 9
playerGuideOverseerSpawnChance: 0
pupSpawnChance: 0.1
GlacialWasteland: 1
Subregion: Outer Expanse
Subregion: The Fissure
Subregion: Facility Roots (Western Intake)
Subregion: ...
Broken Shelters: Yellow: OE_S06
Broken Shelters: Gravelslug: OE_S06
Room Setting Templates: Swamp, Ruins, RuinsInside, Cave
Room_Attr: GATE_SB_OE: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: GATE_OE_SU: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_RAIL04: Vulture-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_RAIL06: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_RAIL05: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_TOWER11: Vulture-Forbidden,Centipede-Like,RedCentipede-Like,Centiwing-Like,SmallCentipede-Like,Scavenger-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_S01: Vulture-Forbidden,Scavenger-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_RAIL01: Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,ScavengerElite-Avoid,
